Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
ENSG00000258674		"Novel protein"				"Evidence at transcript level"
ENSG00000258691		"Novel protein"				"Evidence at transcript level"
ENSG00000258728		"Novel protein (GALT-IL11RA readthrough)"				"No human protein/transcript evidence"
ENSG00000258881		"Novel protein"				"Evidence at transcript level"
ENSG00000258989		"Novel protein"				"Evidence at transcript level"
ENSG00000259060		"Novel protein"				"Evidence at transcript level"
ENSG00000259066		"Novel protein"				"No human protein/transcript evidence"
ENSG00000259132		"Novel protein"				"Evidence at protein level"
ENSG00000259171		"Novel protein, ANG-RNASE4 readthrough"				"Evidence at transcript level"
ENSG00000259371		"Novel protein"				"No human protein/transcript evidence"
ENSG00000259784		"Novel protein"				"Evidence at transcript level"
ENSG00000260007		"Novel protein"				"No human protein/transcript evidence"
ENSG00000260170		"Novel protein"				"Evidence at transcript level"
ENSG00000260272		"Novel protein"				"Evidence at transcript level"
ENSG00000260342		"Novel protein"				"Evidence at transcript level"
ENSG00000260371		"Novel protein"				"Evidence at transcript level"
ENSG00000260537		"Novel protein, DDX19B and DDX19A readthrough"				"Evidence at protein level"
ENSG00000260643		"Novel protein"				"Evidence at protein level"
ENSG00000260836		"Novel protein"				"Evidence at protein level"
ENSG00000260861		"Novel protein, SIRPB1-SIRPD readthrough"				"Evidence at transcript level"
ENSG00000260914		"Novel protein"				"Evidence at protein level"
ENSG00000261130		"Novel protein"				"No human protein/transcript evidence"
ENSG00000261341		"Novel protein"				"Evidence at transcript level"
ENSG00000261717		"Novel TMEM170A-CFDP1 readthrough protein"				"Evidence at transcript level"
ENSG00000261793		"Novel transcript, TMEM210 and LRRC26 readthrough"				"Evidence at transcript level"
ENSG00000261832		"Novel protein"				"Evidence at protein level"
ENSG00000262660		"Novel protein"				"Evidence at protein level"
ENSG00000263020		"Novel protein"				"Evidence at protein level"
ENSG00000263620		"Novel protein"				"Evidence at transcript level"
ENSG00000264668		"Novel protein"				"Evidence at transcript level"
ENSG00000265118		"Novel protein"				"Evidence at transcript level"
ENSG00000265303		"Novel protein"				"Evidence at transcript level"
ENSG00000266202		"Novel protein"				"Evidence at transcript level"
ENSG00000266953		"Novel protein, readthrough between GPI and PDCD2"				"Evidence at transcript level"
ENSG00000267001		"Novel protein"				"Evidence at protein level"
ENSG00000267140		"Novel protein"				"Evidence at transcript level"
ENSG00000267157		"Novel protein"				"Evidence at transcript level"
ENSG00000267168		"Novel protein"				"No human protein/transcript evidence"
ENSG00000267173		"Novel protein"				"No human protein/transcript evidence"
ENSG00000267179		"Novel protein"				"Evidence at transcript level"
ENSG00000267261		"Novel protein"				"Evidence at transcript level"
ENSG00000267318		"Novel protein"				"Evidence at transcript level"
ENSG00000267335		"Novel protein"				"Evidence at transcript level"
ENSG00000267360		"Novel protein"				"Evidence at transcript level"
ENSG00000267561		"Novel protein"				"Evidence at protein level"
ENSG00000267618		"RAD51L3-RFFL readthrough"				"Evidence at transcript level"
ENSG00000267740		"Novel protein"				"Evidence at protein level"
ENSG00000267748		"Novel protein"				"Evidence at transcript level"
ENSG00000267881		"Novel protein, readthrough between CEACAM5-CEACAM6"				"Evidence at transcript level"
ENSG00000267952		"Novel transcript"				"Evidence at transcript level"
ENSG00000268083		"Novel protein"				"Evidence at protein level"
ENSG00000268133		"Novel protein"				"Evidence at transcript level"
ENSG00000268163		"Novel transcript"				"Evidence at transcript level"
ENSG00000268361		"Novel protein"				"Evidence at transcript level"
ENSG00000268434		"Novel protein"				"Evidence at transcript level"
ENSG00000268465		"Novel protein"				"Evidence at transcript level"
ENSG00000268533		"Novel protein"				"Evidence at transcript level"
ENSG00000268643		"Novel protein"				"Evidence at protein level"
ENSG00000268655		"Novel protein"				"Evidence at transcript level"
ENSG00000268674			P0DMU3			"Evidence at transcript level"
ENSG00000268750		"Novel protein"				"Evidence at transcript level"
ENSG00000268790		"Novel protein"				"Evidence at transcript level"
ENSG00000268870		"Novel zinc finger protein"				"Evidence at protein level"
ENSG00000269026		"Novel protein"				"Evidence at transcript level"
ENSG00000269035		"Novel protein"				"No human protein/transcript evidence"
ENSG00000269095		"Novel protein"				"Evidence at transcript level"
ENSG00000269533		"Novel transcript"				"Evidence at transcript level"
ENSG00000269547		"Novel protein"				"Evidence at protein level"
ENSG00000269590		"Novel protein"				"Evidence at protein level"
ENSG00000269711		"Novel protein"				"Evidence at transcript level"
ENSG00000269825		"Novel zinc finger protein"				"Evidence at transcript level"
ENSG00000270249		"Novel protein"				"Evidence at protein level"
ENSG00000270299		"Novel protein"				"Evidence at transcript level"
ENSG00000271254						"Evidence at protein level"
ENSG00000271810		"Novel protein, PPM1J-RHOC readthrough"				"Evidence at transcript level"
ENSG00000272104		"Novel protein"				"Evidence at transcript level"
ENSG00000272297		"Novel protein"				"Evidence at transcript level"
ENSG00000272617		"Novel protein, COG8-PDF readthrough"				"Evidence at transcript level"
ENSG00000272772		"Novel protein"				"Evidence at protein level"
ENSG00000272822		"Novel protein"				"Evidence at transcript level"
ENSG00000272980		"Novel protein"				"Evidence at transcript level"
ENSG00000273047		"Novel transcript, LIME1-SLC2A4RG readthrough"				"Evidence at transcript level"
ENSG00000273049		"Novel protein, readthrough between HOXC10 and HOXC5"				"Evidence at transcript level"
ENSG00000273088		"Novel protein"				"Evidence at transcript level"
ENSG00000273154		"Novel protein, ZGPAT-LIME1 readthrough"				"No human protein/transcript evidence"
ENSG00000273155		"Novel LIPT1-MRPL30 readthrough"				"Evidence at transcript level"
ENSG00000273171		"Novel protein, readthrough between VTN and SEBOX"				"Evidence at transcript level"
ENSG00000273217		"Novel protein"				"Evidence at transcript level"
ENSG00000273291		"Novel protein"				"Evidence at transcript level"
ENSG00000273554						"Evidence at transcript level"
ENSG00000273748						"Evidence at transcript level"
ENSG00000274175						"Evidence at transcript level"
ENSG00000274792						"No human protein/transcript evidence"
ENSG00000274944		"Novel protein"				"Evidence at transcript level"
ENSG00000275063			P0DP08	"Adaptive immunity, Immunity"		"Evidence at protein level"
ENSG00000275163		"Potassium large conductance calcium-activated channel, subfamily M, beta member 2 (KCNMB2-IT1 - KCNMB2 readthrough transcript)"				"Evidence at transcript level"
ENSG00000275249						"No human protein/transcript evidence"
ENSG00000275674		"Novel protein"				"Evidence at transcript level"
ENSG00000275740		"Novel readthrough transcript"				"Evidence at transcript level"
ENSG00000275778		"PRH1-PRR4 readthrough"				"Evidence at protein level"
ENSG00000275869						"Evidence at transcript level"
ENSG00000276017						"Evidence at transcript level"
ENSG00000276256						"Evidence at transcript level"
ENSG00000276302		"Novel protein"				"Evidence at transcript level"
ENSG00000276345						"Evidence at transcript level"
ENSG00000276760						"No human protein/transcript evidence"
ENSG00000277400			Q8WZ33	"Transcription, Transcription regulation"		"Evidence at protein level"
ENSG00000277475						"Evidence at transcript level"
ENSG00000277535		"Novel cancer/testis antigen family protein"				"Evidence at protein level"
ENSG00000277630						"Evidence at transcript level"
ENSG00000277639		"Novel protein"				"Evidence at transcript level"
ENSG00000277836						"Evidence at transcript level"
ENSG00000277856						"Evidence at transcript level"
ENSG00000278263		"Novel protein, identical to IGHV4-4"				"Evidence at transcript level"
ENSG00000278384						"Evidence at transcript level"
ENSG00000278633						"Evidence at transcript level"
ENSG00000278646		"Novel protein similar to cancer/testis antigen family 47, member A12 (CT47A12)"				"Evidence at protein level"
ENSG00000278704						"Evidence at transcript level"
ENSG00000278817						"Evidence at transcript level"
ENSG00000279073		"Novel protein"				"Evidence at transcript level"
ENSG00000279983		"Novel protein"				"Evidence at transcript level"
ENSG00000280571		"Novel protein"				"Evidence at transcript level"
ENSG00000280778		"Novel protein, lncRNA-POLR3GL readthrough"				"Evidence at transcript level"
ENSG00000281039		"Novel protein"				"Evidence at protein level"
ENSG00000281179		"Novel gene identicle to IGHV1OR15-1"				"Evidence at transcript level"
ENSG00000281613		"Novel ret finger protein-like 4B"				"Evidence at transcript level"
ENSG00000282218		"Novel protein, GOPC-ROS1 readthrough"				"Evidence at transcript level"
ENSG00000282278		"Novel FIP1L1-PDGFRA fusion protein"				"Evidence at protein level"
ENSG00000282804		"Novel protein"				"No human protein/transcript evidence"
ENSG00000282936		"Novel protein"				"Evidence at transcript level"
ENSG00000282988		"Novel protein"				"Evidence at transcript level"
ENSG00000283128		"Novel protein"				"No human protein/transcript evidence"
ENSG00000283149		"Novel protein"				"Evidence at protein level"
ENSG00000283189		"Novel protein"				"No human protein/transcript evidence"
ENSG00000283201		"Zinc finger protein 724"				"Evidence at transcript level"
ENSG00000283205		"Novel protein"				"Evidence at transcript level"
ENSG00000283208		"Novel protein"				"Evidence at transcript level"
ENSG00000283321		"Novel protein"				"Evidence at transcript level"
ENSG00000283536		"Novel protein"				"Evidence at transcript level"
ENSG00000283599		"Novel protein similar to CXorf49"				"Evidence at transcript level"
ENSG00000283761		"Novel protein"				"Evidence at transcript level"
ENSG00000283765		"Novel protein"				"Evidence at protein level"
ENSG00000283782		"Novel protein"				"Evidence at protein level"
ENSG00000283809		"Novel protein"				"Evidence at transcript level"
ENSG00000283886			Q8NFD4			"Evidence at transcript level"
ENSG00000283952		"Novel protein"				"No human protein/transcript evidence"
ENSG00000284057		"Novel protein, C11orf54-MED17 readthrough"				"Evidence at protein level"
ENSG00000284188		"Novel protein"				"Evidence at transcript level"
ENSG00000284209		"Novel protein similar to cyclin Y CCNY"				"Evidence at transcript level"
ENSG00000284292		"Novel protein, ARPC1A and ARPC1B readthrough"				"Evidence at protein level"
ENSG00000284512		"Novel protein"				"Evidence at protein level"
ENSG00000284526		"Novel protein"				"Evidence at transcript level"
ENSG00000284554		"Novel protein"				"Evidence at transcript level"
ENSG00000284684		"Novel protein"				"Evidence at transcript level"
ENSG00000284691		"Novel zinc finger protein"				"Evidence at transcript level"
ENSG00000284732		"Novel olfactory receptor"				"Evidence at transcript level"
ENSG00000284762		"Phosphodiesterase 8B"				"Evidence at protein level"
ENSG00000284773		"Novel protein"				"Evidence at transcript level"
ENSG00000284776		"Novel protein"				"Evidence at transcript level"
ENSG00000284779		"Novel protein"				"No human protein/transcript evidence"
ENSG00000284797		"Novel protein"				"Evidence at transcript level"
ENSG00000284895		"Novel protein"				"Evidence at transcript level"
ENSG00000284906		"Novel protein"				"Evidence at protein level"
ENSG00000284931		"Novel protein"				"Evidence at transcript level"
ENSG00000284934		"Novel protein"				"Evidence at transcript level"
ENSG00000284956		"Novel protein"				"Evidence at transcript level"
ENSG00000284969		"Novel protein"				"Evidence at protein level"
ENSG00000284976		"Novel RING finger protein"				"Evidence at transcript level"
ENSG00000285025		"Mitochondrial elongation factor 1"	L0R8F8	"Ribosome biogenesis, Translation regulation"		"Evidence at protein level"
ENSG00000285043		"Novel protein"				"Evidence at transcript level"
ENSG00000285082		"Novel protein"				"Evidence at transcript level"
ENSG00000285085		"Novel protein"				"No human protein/transcript evidence"
ENSG00000285130		"Novel protein"				"Evidence at protein level"
ENSG00000285133		"Novel protein"	P0DPQ6			"Evidence at protein level"
ENSG00000285188		"Novel protein"				"Evidence at transcript level"
ENSG00000285218		"Novel protein"				"Evidence at transcript level"
ENSG00000285245		"Novel protein"				"Evidence at transcript level"
ENSG00000285253		"Novel protein"				"Evidence at transcript level"
ENSG00000285283		"Novel protein"				"Evidence at protein level"
ENSG00000285304		"Novel protein"				"Evidence at protein level"
ENSG00000285330		"Novel protein"				"Evidence at transcript level"
ENSG00000285382		"Novel protein"				"Evidence at protein level"
ENSG00000285404		"Novel protein, DEPDC5-YWHAH readthrough"				"No human protein/transcript evidence"
ENSG00000285446		"Novel protein"				"Evidence at transcript level"
ENSG00000285458		"Novel protein"				"Evidence at transcript level"
ENSG00000285471		"Novel protein"				"Evidence at transcript level"
ENSG00000285526		"Novel protein"				"Evidence at transcript level"
ENSG00000285547		"Novel protein"				"Evidence at transcript level"
ENSG00000285566		"Novel keratin-associated protein"				"Evidence at transcript level"
ENSG00000285585		"Novel protein"				"No human protein/transcript evidence"
ENSG00000285625		"Novel protein"				"Evidence at transcript level"
ENSG00000285655		"Novel protein"				"No human protein/transcript evidence"
ENSG00000285708		"Novel protein"				"Evidence at protein level"
ENSG00000285733		"Novel protein"				"Evidence at transcript level"
ENSG00000285749		"Novel protein"				"Evidence at transcript level"
ENSG00000285772		"Novel protein"				"Evidence at transcript level"
ENSG00000285827		"Novel protein"				"Evidence at protein level"
ENSG00000285837		"Novel protein"				"Evidence at transcript level"
ENSG00000285868		"Novel protein"				"Evidence at transcript level"
ENSG00000285880		"ADRB3-GOT1L1 readthrough"				"Evidence at transcript level"
ENSG00000285920		"Novel protein"				"Evidence at protein level"
ENSG00000285938		"BCL6 antisense 1"				"Evidence at transcript level"
ENSG00000285947		"Novel protein"				"Evidence at transcript level"
ENSG00000285953		"Novel protein"				"Evidence at transcript level"
ENSG00000285976		"Novel protein"				"Evidence at transcript level"
ENSG00000285982		"Novel protein"				"Evidence at transcript level"
ENSG00000286015		"Novel protein"				"Evidence at transcript level"
ENSG00000286022		"Novel protein"				"Evidence at protein level"
ENSG00000286098		"Novel protein"				"Evidence at transcript level"
ENSG00000286112		"Kynurenine aminotransferase 1"				"Evidence at protein level"
ENSG00000286131		"Novel protein"				"Evidence at transcript level"
ENSG00000286135		"Novel protein similar to AQN-1 protein AQN-1 (Sus scrofa)"				"Evidence at transcript level"
ENSG00000286143		"Novel protein"				"Evidence at transcript level"
ENSG00000286165		"Novel protein"				"Evidence at transcript level"
ENSG00000286185		"Novel protein, identical to neuroblastoma breakpoint family, member 19 NBPF19"				"Evidence at protein level"
ENSG00000286190		"Novel protein"				"Evidence at transcript level"
ENSG00000286221		"Novel protein"				"No human protein/transcript evidence"
ENSG00000286224		"Novel protein"				"Evidence at transcript level"
ENSG00000286235		"Novel protein"				"Evidence at protein level"
ENSG00000286264		"Novel protein"				"Evidence at transcript level"
ENSG00000286268		"Novel protein"				"Evidence at transcript level"
ENSG00000287585		"Novel protein, similar to CXorf51A"				"No human protein/transcript evidence"
ENSG00000287856		"Novel protein"				"Evidence at transcript level"
ENSG00000288000		"Novel protein"				"No human protein/transcript evidence"
ENSG00000288053		"Novel protein"				"Evidence at transcript level"
ENSG00000288520		"Novel protein"	G9CGD6			"Evidence at protein level"
ENSG00000288529		"Novel protein"				"Evidence at transcript level"
ENSG00000288570		"Novel protein"				"Evidence at transcript level"
ENSG00000288593		"Novel protein"				"Evidence at transcript level"
ENSG00000288608		"Novel protein"				"No human protein/transcript evidence"
ENSG00000288614		"Novel protein"				"Evidence at transcript level"
ENSG00000288623		"Novel protein"				"Evidence at transcript level"
ENSG00000288625		"Novel protein"				"Evidence at transcript level"
ENSG00000288626		"Novel protein"				"Evidence at transcript level"
ENSG00000288629		"Novel protein"				"No human protein/transcript evidence"
ENSG00000288634		"Novel protein"				"Evidence at transcript level"
ENSG00000288635		"Novel protein, readthrough ST7-OT4 - ST7"				"Evidence at transcript level"
ENSG00000288636		"Novel  protein"				"Evidence at transcript level"
ENSG00000288637		"Novel protein"				"Evidence at transcript level"
ENSG00000288644		"Novel protein"				"Evidence at transcript level"
ENSG00000288645		"Novel protein"				"Evidence at transcript level"
ENSG00000288646		"Novel protein"				"No human protein/transcript evidence"
ENSG00000288654		"Novel protein"				"Evidence at transcript level"
ENSG00000288658		"Novel protein, ortholog of Gm2102 (M. musculus)"				"Evidence at transcript level"
ENSG00000288661		"Novel protein"				"Evidence at transcript level"
ENSG00000288671		"Novel protein"				"Evidence at transcript level"
ENSG00000288678		"Novel protein"				"No human protein/transcript evidence"
ENSG00000288681		"Novel protein"				"Evidence at transcript level"
ENSG00000288684		"Novel protein"				"Evidence at protein level"
ENSG00000288695		"Novel protein, SRD5A3-RP11-177J6.1 readthrough"				"Evidence at transcript level"
ENSG00000288706		"Novel protein"				"No human protein/transcript evidence"
ENSG00000288708		"Novel protein"				"Evidence at transcript level"
ENSG00000288712		"Novel protein"				"No human protein/transcript evidence"
ENSG00000288715		"Novel protein"				"Evidence at transcript level"
ENSG00000288716		"Novel protein"				"Evidence at transcript level"
ENSG00000288796		"Novel protein"				"Evidence at protein level"
ENSG00000288841		"Novel protein"				"Evidence at transcript level"
ENSG00000288914		"Novel protein"				"No human protein/transcript evidence"
ENSG00000289025		"Novel protein"				"No human protein/transcript evidence"
ENSG00000289027		"Novel protein"				"Evidence at transcript level"
ENSG00000289051		"Novel protein"	C0HLV8			"Evidence at protein level"
ENSG00000289258		"Novel protein"				"Evidence at transcript level"
ENSG00000289281		"Novel protein"				"Evidence at transcript level"
ENSG00000289282		"Novel protein"				"Evidence at transcript level"
ENSG00000289325		"Novel protein"				"No human protein/transcript evidence"
ENSG00000289346		"Novel protein"				"Evidence at transcript level"
ENSG00000289360		"Novel protein"				"No human protein/transcript evidence"
ENSG00000289490		"Novel protein"				"Evidence at transcript level"
ENSG00000289491		"Novel protein"	C0HLU2	"Transcription, Transcription regulation"		"Evidence at protein level"
ENSG00000289653		"Novel protein"				"Evidence at transcript level"
ENSG00000289690		"Novel transcript"				"Evidence at transcript level"
ENSG00000289692		"Novel protein"				"Evidence at transcript level"
ENSG00000289694		"Novel protein"				"Evidence at protein level"
ENSG00000289697		"Novel protein"				"Evidence at protein level"
ENSG00000289700		"Novel protein"				"Evidence at protein level"
ENSG00000289710		"Novel protein, similar to CD24 molecule CD52"				"Evidence at transcript level"
ENSG00000289715		"Novel protein"				"Evidence at transcript level"
ENSG00000289722		"Novel protein"				"Evidence at transcript level"
ENSG00000289723		"Novel T cell receptor alpha variable"				"Evidence at transcript level"
ENSG00000289724		"Novel protein, SERPINB2-SERPINB10 readthrough"				"Evidence at protein level"
ENSG00000289747		"Novel protein"				"Evidence at transcript level"
ENSG00000289760		"Novel protein"				"No human protein/transcript evidence"
ENSG00000289761		"Novel protein"				"No human protein/transcript evidence"
ENSG00000289763		"Novel protein"				"Evidence at transcript level"
ENSG00000289764		"Novel protein"				"No human protein/transcript evidence"
ENSG00000289766		"Novel protein"				"No human protein/transcript evidence"
ENSG00000289767		"Novel protein"				"Evidence at transcript level"
ENSG00000289768		"Novel protein similar to Fc fragment of IgG, low affinity III, receptor (CD16a) proteins"				"Evidence at transcript level"
ENSG00000289791		"Novel protein"				"Evidence at transcript level"
ENSG00000289809		"Novel protein"				"Evidence at transcript level"
ENSG00000290147		"Novel protein"	P43080	"Sensory transduction, Vision"		"Evidence at protein level"
ENSG00000290149		"Novel protein, GPR141-NME8-EPDR1 readthrough"				"Evidence at transcript level"
ENSG00000290183		"Novel protein"				"Evidence at transcript level"
ENSG00000290184		"Novel protein"				"Evidence at transcript level"
ENSG00000290217		"Novel protein"				"Evidence at transcript level"
ENSG00000290315		"Novel protein"				"Evidence at protein level"
ENSG00000290316		"Novel protein, CYP4V2-KLKB1 readthrough"				"Evidence at transcript level"
ENSG00000290317		"Novel protein, ACKR2-ZNF662-KRBOX1 readthrough"	C9JBD0			"Evidence at protein level"
ENSG00000290318		"Novel protein"				"Evidence at transcript level"
ENSG00000291239		"Novel protein"				"No human protein/transcript evidence"
ENSG00000291302		"Novel protein"				"No human protein/transcript evidence"
ENSG00000291303		"Novel protein"				"Evidence at transcript level"
ENSG00000291312		"Novel protein"				"Evidence at transcript level"
ENSG00000291313		"Novel protein"				"Evidence at transcript level"
ENSG00000291314		"Novel protein"				"Evidence at transcript level"
ENSG00000291315		"Novel protein"				"Evidence at transcript level"
ENSG00000291316		"Novel protein, LOC84773-CYHR1 readthrough"	Q6ZMK1			"Evidence at protein level"
ENTHD1	FLJ25421	"ENTH domain containing 1"	Q8IYW4			"Evidence at protein level"
ENTPD1	"ATPDase, CD39, NTPDase-1, SPG64"	"Ectonucleoside triphosphate diphosphohydrolase 1"	P49961		Hydrolase	"Evidence at protein level"
ENTPD2	"CD39L1, NTPDase-2"	"Ectonucleoside triphosphate diphosphohydrolase 2"	Q9Y5L3		Hydrolase	"Evidence at protein level"
ENTPD3	"CD39L3, HB6, NTPDase-3"	"Ectonucleoside triphosphate diphosphohydrolase 3"	O75355		Hydrolase	"Evidence at protein level"
ENTPD4	"KIAA0392, LALP70, LAP70, LYSAL1, NTPDase-4, UDPase"	"Ectonucleoside triphosphate diphosphohydrolase 4"	Q9Y227		Hydrolase	"Evidence at protein level"
ENTPD5	"CD39L4, NTPDase-5, PCPH"	"Ectonucleoside triphosphate diphosphohydrolase 5 (inactive)"	O75356		Hydrolase	"Evidence at protein level"
ENTPD6	"CD39L2, dJ738P15.3, IL6ST2, NTPDase-6"	"Ectonucleoside triphosphate diphosphohydrolase 6"	O75354		Hydrolase	"Evidence at protein level"
ENTPD7	"FLJ30978, LALP1"	"Ectonucleoside triphosphate diphosphohydrolase 7"	Q9NQZ7		Hydrolase	"Evidence at protein level"
ENTPD8	"NTPDase-8, UNQ2492"	"Ectonucleoside triphosphate diphosphohydrolase 8"	Q5MY95		Hydrolase	"Evidence at protein level"
ENTR1	"NY-CO-3, SDCCAG3"	"Endosome associated trafficking regulator 1"	Q96C92	"Cell cycle, Cell division, Cilium biogenesis/degradation, Protein transport, Transport"		"Evidence at protein level"
ENTREP1	"C9orf61, ENTREP, FAM189A2, X123"	"Endosomal transmembrane epsin interactor 1"	Q15884			"Evidence at protein level"
ENTREP2	"FAM189A1, KIAA0574, TMEM228"	"Endosomal transmembrane epsin interactor 2"	O60320			"Evidence at protein level"
ENTREP3	"C1orf2, cote1, FAM189B"	"Endosomal transmembrane epsin interactor 3"	P81408			"Evidence at protein level"
ENY2	"DC6, FLJ20480, Sus1"	"ENY2 transcription and export complex 2 subunit"	Q9NPA8	"mRNA transport, Protein transport, Transcription, Transcription regulation, Translocation, Transport"	"Activator, Chromatin regulator"	"Evidence at protein level"
EOGT	"AER61, C3orf64, FLJ33770"	"EGF domain specific O-linked N-acetylglucosamine transferase"	Q5NDL2		"Glycosyltransferase, Transferase"	"Evidence at protein level"
EOLA1	"CXorf40, CXorf40A"	"Endothelium and lymphocyte associated ASCH domain 1"	Q8TE69			"Evidence at protein level"
EOLA2	CXorf40B	"Endothelium and lymphocyte associated ASCH domain 2"	Q96DE9			"Evidence at transcript level"
EOMES	TBR2	Eomesodermin	O95936	"Adaptive immunity, Differentiation, Gastrulation, Immunity, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Evidence at protein level"
EP300	"KAT3B, p300"	"E1A binding protein p300"	Q09472	"Biological rhythms, Cell cycle, Host-virus interaction, Transcription, Transcription regulation"	"Acyltransferase, Transferase"	"Evidence at protein level"
EP400	"CAGH32, DKFZP434I225, KIAA1498, KIAA1818, P400, TNRC12"	"E1A binding protein p400"	Q96L91		"Chromatin regulator, DNA-binding, Helicase, Hydrolase"	"Evidence at protein level"
EPAS1	"bHLHe73, HIF2A, HLF, MOP2, PASD2"	"Endothelial PAS domain protein 1"	Q99814	"Angiogenesis, Differentiation, Host-virus interaction, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Evidence at protein level"
EPB41	"4.1R, EL1"	"Erythrocyte membrane protein band 4.1"	P11171	"Cell cycle, Cell division, Mitosis, Transport"	"Actin-binding, Calmodulin-binding"	"Evidence at protein level"
EPB41L1	"4.1N, KIAA0338"	"Erythrocyte membrane protein band 4.1 like 1"	Q9H4G0		Actin-binding	"Evidence at protein level"
EPB41L2	"4.1-G, 4.1G"	"Erythrocyte membrane protein band 4.1 like 2"	O43491	"Cell cycle, Cell division, Mitosis, Transport"	Actin-binding	"Evidence at protein level"
EPB41L3	"4.1B, DAL1, KIAA0987"	"Erythrocyte membrane protein band 4.1 like 3"	Q9Y2J2	Apoptosis	Actin-binding	"Evidence at protein level"
EPB41L4A	NBL4	"Erythrocyte membrane protein band 4.1 like 4A"	Q9HCS5			"Evidence at protein level"
EPB41L4B	"EHM2, LULU2"	"Erythrocyte membrane protein band 4.1 like 4B"	Q9H329			"Evidence at protein level"
EPB41L5	"BE37, FLJ12957, KIAA1548, LULU, LULU1, YMO1, YRT"	"Erythrocyte membrane protein band 4.1 like 5"	Q9HCM4			"Evidence at protein level"
EPB42	"MGC116735, MGC116737, PA"	"Erythrocyte membrane protein band 4.2"	P16452	"Cell shape, Erythrocyte maturation"		"Evidence at protein level"
EPC1	Epl1	"Enhancer of polycomb homolog 1"	Q9H2F5	"Differentiation, Growth regulation, Spermatogenesis, Transcription, Transcription regulation"	"Activator, Chromatin regulator"	"Evidence at protein level"
EPC2	DKFZP566F2124	"Enhancer of polycomb homolog 2"	Q52LR7	"DNA damage, DNA repair, Transcription, Transcription regulation"	"Chromatin regulator"	"Evidence at protein level"
EPCAM	"17-1A, 323/A3, Ber-Ep4, BerEp4, CD326, CO-17A, EGP-2, EGP34, EGP40, Ep-CAM, ESA, GA733-2, HEA125, KS1/4, KSA, Ly74, M4S1, MH99, MIC18, MK-1, MOC-31, MOC31, TACST-1, TACSTD1, TROP1"	"Epithelial cell adhesion molecule"	P16422		"Tumor antigen"	"Evidence at protein level"
EPDR1	"EPDR, MERP-1, MERP1, UCC1"	"Ependymin related 1"	Q9UM22			"Evidence at protein level"
EPG5	"hEPG5, KIAA1632"	"Ectopic P-granules 5 autophagy tethering factor"	Q9HCE0	Autophagy		"Evidence at protein level"
EPGN	"ALGV3072, EPG, PRO9904"	"Epithelial mitogen"	Q6UW88		"Growth factor"	"Evidence at protein level"
EPHA1	"EPH, EPHT, EPHT1"	"EPH receptor A1"	P21709	"Angiogenesis, Cell adhesion"	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHA10	"FLJ16103, FLJ33655"	"EPH receptor A10"	Q5JZY3		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHA2	ECK	"EPH receptor A2"	P29317	"Angiogenesis, Apoptosis, Cell adhesion, Differentiation, Host-virus interaction"	"Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHA3	"ETK, ETK1, HEK, HEK4, TYRO4"	"EPH receptor A3"	P29320	"Cell adhesion"	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHA4	"Hek8, TYRO1"	"EPH receptor A4"	P54764	"Cell adhesion, Neurogenesis"	"Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHA5	"CEK7, EHK1, Hek7, TYRO4"	"EPH receptor A5"	P54756	Neurogenesis	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHA6	FLJ35246	"EPH receptor A6"	Q9UF33		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHA7	Hek11	"EPH receptor A7"	Q15375	"Apoptosis, Neurogenesis"	"Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHA8	"EEK, Hek3"	"EPH receptor A8"	P29322	"Cell adhesion, Neurogenesis"	"Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHB1	"EPHT2, Hek6"	"EPH receptor B1"	P54762	"Cell adhesion, Neurogenesis"	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHB2	"DRT, EPHT3, ERK, Hek5, Tyro5"	"EPH receptor B2"	P29323	Neurogenesis	"Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHB3	"ETK2, Hek2, Tyro6"	"EPH receptor B3"	P54753	"Angiogenesis, Neurogenesis"	"Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
EPHB4	"HTK, Tyro11"	"EPH receptor B4"	P54760	Angiogenesis	"Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
