Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
TBX2		"T-box transcription factor 2"	Q13207	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TBX20		"T-box transcription factor 20"	Q9UMR3	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TBX21	"T-bet, TBLYM"	"T-box transcription factor 21"	Q9UL17	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
TBX22	"CLPA, CPX"	"T-box transcription factor 22"	Q9Y458	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TBX3	"TBX3-ISO, UMS, XHL"	"T-box transcription factor 3"	O15119	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Evidence at protein level"
TBX4		"T-box transcription factor 4"	P57082	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TBX5	HOS	"T-box transcription factor 5"	Q99593	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TBX6		"T-box transcription factor 6"	O95947	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TBXA2R		"Thromboxane A2 receptor"	P21731		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
TBXAS1	"CYP5, CYP5A1, THAS, TS, TXAS, TXS"	"Thromboxane A synthase 1"	P24557	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Prostaglandin biosynthesis, Prostaglandin metabolism"	"Isomerase, Lyase, Monooxygenase, Oxidoreductase"	"Evidence at protein level"
TBXT	T	"T-box transcription factor T"	O15178	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Evidence at protein level"
TC2N	"C14orf47, C2CD1, FLJ36557, MTAC2D1, Tac2-N"	"Tandem C2 domains, nuclear"	Q8N9U0			"Evidence at protein level"
TCAF1	"FAM115A, GATD9A, KIAA0738"	"TRPM8 channel associated factor 1"	Q9Y4C2	Transport		"Evidence at protein level"
TCAF2	"FAM115C, FAM139A, FLJ40722, GATD9B"	"TRPM8 channel associated factor 2"	A6NFQ2	Transport		"Evidence at protein level"
TCAF2C		"TRPM8 channel associated factor 2C"				"Evidence at protein level"
TCAIM	"C3orf23, DKFZp313N0621, TOAG-1"	"T cell activation inhibitor, mitochondrial"	Q8N3R3			"Evidence at protein level"
TCAP	"CMD1N, LGMD2G, T-cap, TELE, telethonin"	Titin-cap	O15273			"Evidence at protein level"
TCEA1	"GTF2S, SII, TCEA, TF2S, TFIIS"	"Transcription elongation factor A1"	P23193	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TCEA2	TFIIS	"Transcription elongation factor A2"	Q15560	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TCEA3	TFIIS.H	"Transcription elongation factor A3"	O75764	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TCEAL1	"p21, pp21, SIIR, WEX9"	"Transcription elongation factor A like 1"	Q15170	"Transcription, Transcription regulation"		"Evidence at protein level"
TCEAL2	"my048, MY0876G05, WEX1"	"Transcription elongation factor A like 2"	Q9H3H9	"Transcription, Transcription regulation"		"Evidence at protein level"
TCEAL3	"MGC15737, WEX8"	"Transcription elongation factor A like 3"	Q969E4	"Transcription, Transcription regulation"		"Evidence at protein level"
TCEAL4	"FLJ21174, WEX7"	"Transcription elongation factor A like 4"	Q96EI5	"Transcription, Transcription regulation"		"Evidence at protein level"
TCEAL5	WEX4	"Transcription elongation factor A like 5"	Q5H9L2	"Transcription, Transcription regulation"		"Evidence at protein level"
TCEAL6	WEX2	"Transcription elongation factor A like 6"	Q6IPX3	"Transcription, Transcription regulation"		"Evidence at protein level"
TCEAL7	"MGC23947, WEX5"	"Transcription elongation factor A like 7"	Q9BRU2	"Transcription, Transcription regulation"	Repressor	"Evidence at protein level"
TCEAL8	"MGC45400, WEX3"	"Transcription elongation factor A like 8"	Q8IYN2	"Transcription, Transcription regulation"		"Evidence at protein level"
TCEAL9	"DKFZp313K1940, WBP5, WEX6"	"Transcription elongation factor A like 9"	Q9UHQ7	"Transcription, Transcription regulation"		"Evidence at protein level"
TCEANC	MGC17403	"Transcription elongation factor A N-terminal and central domain containing"	Q8N8B7			"Evidence at protein level"
TCEANC2	"C1orf83, FLJ32112"	"Transcription elongation factor A N-terminal and central domain containing 2"	Q96MN5			"Evidence at protein level"
TCERG1	"CA150, TAF2S, Urn1"	"Transcription elongation regulator 1"	O14776	"Transcription, Transcription regulation"	"Activator, Repressor"	"Evidence at protein level"
TCERG1L	FLJ38950	"Transcription elongation regulator 1 like"	Q5VWI1			"Evidence at protein level"
TCF12	"bHLHb20, HEB, HsT17266, HTF4, p64"	"Transcription factor 12"	Q99081	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TCF15	"bHLHa40, EC2, PARAXIS"	"Transcription factor 15"	Q12870	"Differentiation, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Evidence at protein level"
TCF19	SC1	"Transcription factor 19"	Q9Y242	"Transcription, Transcription regulation"		"Evidence at protein level"
TCF20	"AR1, SPBP"	"Transcription factor 20"	Q9UGU0	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TCF21	"bHLHa23, POD1"	"Transcription factor 21"	O43680	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TCF23	"bHLHa24, OUT"	"Transcription factor 23"	Q7RTU1	"Differentiation, Myogenesis"	"Developmental protein"	"Evidence at protein level"
TCF24	bHLHa25	"Transcription factor 24"	Q7RTU0	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TCF25	"KIAA1049, Nulp1"	"Transcription factor 25"	Q9BQ70	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
TCF3	"bHLHb21, E2A, E47, ITF1, MGC129647, MGC129648, p75, VDIR"	"Transcription factor 3"	P15923	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TCF4	"bHLHb19, E2-2, ITF2, SEF2-1B"	"Transcription factor 4"	P15884	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TCF7	TCF-1	"Transcription factor 7"	P36402	"Transcription, Transcription regulation, Wnt signaling pathway"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
TCF7L1	TCF3	"Transcription factor 7 like 1"	Q9HCS4	"Transcription, Transcription regulation, Wnt signaling pathway"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
TCF7L2	"TCF-4, TCF4"	"Transcription factor 7 like 2"	Q9NQB0	"Transcription, Transcription regulation, Wnt signaling pathway"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
TCFL5	"bHLHe82, CHA, E2BP-1, Figlb"	"Transcription factor like 5"	Q9UL49	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TCHH	THH	Trichohyalin	Q07283	Keratinization		"Evidence at protein level"
TCHHL1	"S100A17, THHL1"	"Trichohyalin like 1"	Q5QJ38			"Evidence at protein level"
TCHP	"MGC10854, TpMs"	"Trichoplein keratin filament binding"	Q9BT92	"Apoptosis, Cilium biogenesis/degradation"		"Evidence at protein level"
TCIM	"C8orf4, hTC-1, TC-1, TC1"	"Transcriptional and immune response regulator"	Q9NR00	Apoptosis		"Evidence at protein level"
TCIRG1	"a3, Atp6i, ATP6N1C, ATP6V0A3, OC-116, OC116, TIRC7"	"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"	Q13488	"Hydrogen ion transport, Ion transport, Transport"		"Evidence at protein level"
TCL1A	TCL1	"TCL1 family AKT coactivator A"	P56279			"Evidence at protein level"
TCL1B	TML1	"TCL1 family AKT coactivator B"	O95988			"Evidence at protein level"
TCN1	"TC1, TCI"	"Transcobalamin 1"	P20061	"Cobalt transport, Ion transport, Transport"		"Evidence at protein level"
TCN2	"D22S676, D22S750, TC2"	"Transcobalamin 2"	P20062	"Cobalt transport, Ion transport, Transport"		"Evidence at protein level"
TCOF1	"TCS, treacle"	"Treacle ribosome biogenesis factor 1"	Q13428			"Evidence at protein level"
TCP1	"CCT1, Ccta, D6S230E"	"T-complex 1"	P17987		Chaperone	"Evidence at protein level"
TCP10L	PRED77	"T-complex 10 like"	Q8TDR4	"Transcription, Transcription regulation"	Repressor	"Evidence at protein level"
TCP11	"D6S230E, FPPR, KIAA0229"	"T-complex 11"	Q8WWU5	"Differentiation, Spermatogenesis"	"Developmental protein"	"Evidence at protein level"
TCP11L1	FLJ11336	"T-complex 11 like 1"	Q9NUJ3			"Evidence at protein level"
TCP11L2	MGC40368	"T-complex 11 like 2"	Q8N4U5			"Evidence at protein level"
TCP11X1		"T-complex 11 family, X-linked 1"				"No human protein/transcript evidence"
TCP11X2		"T-complex 11 family, X-linked 2"				"Evidence at protein level"
TCTA		"T cell leukemia translocation altered"	P57738			"Evidence at protein level"
TCTE1	"D6S46, DRC5, FAP155, MGC33600"	"T-complex-associated-testis-expressed 1"	Q5JU00			"Evidence at protein level"
TCTN1	"FLJ21127, JBTS13, TECT1"	"Tectonic family member 1"	Q2MV58	"Cilium biogenesis/degradation"	"Developmental protein"	"Evidence at protein level"
TCTN2	"C12orf38, FLJ12975, JBTS24, MKS8, TECT2"	"Tectonic family member 2"	Q96GX1	"Cilium biogenesis/degradation"		"Evidence at protein level"
TCTN3	"C10orf61, DKFZP564D116, JBTS18, TECT3"	"Tectonic family member 3"	Q6NUS6	"Apoptosis, Cilium biogenesis/degradation"		"Evidence at protein level"
TDG		"Thymine DNA glycosylase"	Q13569	"DNA damage, DNA repair, Transcription, Transcription regulation"	"Activator, Chromatin regulator, Hydrolase"	"Evidence at protein level"
TDGF1	"CR, CR-1, CRIPTO, Cripto-1"	"Teratocarcinoma-derived growth factor 1"	P13385		"Growth factor"	"Evidence at protein level"
TDGF1P3	"CR-3, CRIPTO-3, CRIPTO3, TDGF2, TDGF3"	"Teratocarcinoma-derived growth factor 1 pseudogene 3"	P51864		"Growth factor"	"Evidence at transcript level"
TDO2	"TDO, TPH2"	"Tryptophan 2,3-dioxygenase"	P48775	"Tryptophan catabolism"	"Dioxygenase, Oxidoreductase"	"Evidence at protein level"
TDP1	"FLJ11090, SCAN1"	"Tyrosyl-DNA phosphodiesterase 1"	Q9NUW8	"DNA damage, DNA repair"	"Exonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
TDP2	TTRAP	"Tyrosyl-DNA phosphodiesterase 2"	O95551	"DNA damage, DNA repair, Host-virus interaction"	"Hydrolase, Nuclease"	"Evidence at protein level"
